0.055753,1.0611
0.39003,1.174
0.47448,1.2302
0.82532,1.3843
0.30364,0.95833
0.82179,1.3868
0.56568,1.2657
0.054382,1.0556
0.26001,1.1465
0.5891,1.3818
0.47973,1.2602
0.19865,1.0861
0.23901,1.1216
0.78019,1.4268
0.61731,1.2074
0.14413,1.0632
0.71613,1.3575
0.40151,1.2215
0.46239,1.2433
0.70728,1.349
0.40121,1.1964
0.014385,0.99151
0.07464,0.99188
0.59107,1.2924
0.446,1.199
0.92662,1.4588
0.094893,1.0968
0.37542,1.1884
0.546,1.3032
0.11168,1.0336
0.90446,1.4777
0.63328,1.2832
0.90541,1.4471
0.63055,1.3211
0.014228,1.0195
0.31648,1.1558
0.11187,1.0343
0.62946,1.2904
0.060709,1.0159
0.67399,1.3166
0.47744,1.2271
0.30555,1.1338
0.51633,1.283
0.70703,1.3589
0.81361,1.4125
0.31581,1.1411
0.3113,1.1612
0.34498,1.1789
0.6663,1.3144
0.86107,1.4068
