0.85721,1.417
0.96361,1.4706
0.4889,1.2133
0.22031,1.1322
0.22621,1.1166
0.53679,1.2885
0.76211,1.4113
0.34757,1.151
0.46123,1.2435
0.63932,1.3194
0.91734,1.477
0.16157,1.1029
0.71564,1.3742
0.57774,1.2725
0.4333,1.2141
0.88424,1.4474
0.39305,1.2597
0.17898,1.114
0.63333,1.3631
0.624,1.3203
0.32794,1.1682
0.80297,1.4137
0.99948,1.4892
0.98098,1.5153
0.12704,1.0604
0.23224,1.0886
0.023632,1.0292
0.60743,1.2723
0.11081,1.0185
0.40746,1.2095
0.88408,1.423
0.54813,1.2559
0.369,1.1813
0.20835,1.0944
0.44094,1.216
0.9562,1.4835
0.12403,1.0386
0.47076,1.2109
0.8569,1.3865
0.04339,1.0139
0.69163,1.3591
0.97899,1.4754
0.28327,1.1517
0.13378,1.0777
0.68528,1.3625
0.90945,1.4745
0.61087,1.2917
0.89998,1.4329
0.19343,1.0977
0.75442,1.3639
